date,tests,total_tests,cases,total_cases,deceased,total_deceased,vaccination,total_vaccinations
17/07/2021,135291,19698032,12528,905851,138,6866,395158,14288018
18/07/2021,110011,19808043,10710,916561,153,7019,355736,14643754
19/07/2021,133945,19941988,10972,927533,129,7148,442352,15086106
20/07/2021,96630,20038618,12366,939899,93,7241,310938,15397044
21/07/2021,137293,20175911,11985,951884,199,7440,458223,15855267
22/07/2021,154989,20330900,13034,964918,134,7574,519020,16374287
23/07/2021,156443,20487343,15573,980491,144,7718,478139,16852426
24/07/2021,137994,20625337,15902,996393,184,7902,432621,17285047
25/07/2021,119819,20745156,17045,1013438,92,7994,416776,17701823
26/07/2021,149203,20894359,14516,1027954,207,8201,537436,18239259
27/07/2021,154572,21048931,16117,1044071,207,8408,571542,18810801
28/07/2021,151298,21200229,17405,1061476,143,8551,581283,19392084
29/07/2021,159400,21359629,17170,1078646,174,8725,580119,19972203
30/07/2021,154598,21514227,16840,1095486,134,8859,534730,20506933
31/07/2021,136213,21650440,17786,1113272,165,9024,542731,21049664
01/08/2021,106840,21757280,17150,1130422,160,9184,494943,21544607
02/08/2021,146276,21903556,15764,1146186,219,9403,487763,22032370
03/08/2021,170480,22074036,17105,1163291,195,9598,503565,22535935
04/08/2021,157885,22231921,19819,1183110,257,9855,514523,23050458
05/08/2021,154386,22386307,20596,1203706,164,10019,537790,23588248
06/08/2021,157612,22543919,20889,1224595,160,10179,468846,24057094
07/08/2021,144949,22688868,19257,1243852,210,10389,449070,24506164
08/08/2021,123060,22811928,18688,1262540,360,10749,409995,24916159
09/08/2021,153562,22965490,17236,1279776,212,10961,484499,25400658
10/08/2021,144565,23110055,19991,1299767,201,11162,376500,25777158
11/08/2021,170492,23280547,20780,1320547,211,11373,516934,26294092
12/08/2021,181238,23461785,21668,1342215,318,11691,550240,26844332
13/08/2021,167693,23629478,21468,1363683,277,11968,494612,27338944
14/08/2021,156421,23785899,20670,1384353,260,12228,468349,27807293
15/08/2021,135030,23920929,20546,1404899,282,12510,437478,28244771
16/08/2021,160157,24081086,19740,1424639,274,12784,523716,28768487
17/08/2021,178955,24260041,19631,1444270,293,13077,546797,29315284
18/08/2021,171650,24431691,22242,1466512,225,13302,568119,29883403
19/08/2021,171858,24603549,22948,1489460,178,13480,545370,30428773
20/08/2021,157863,24761412,23564,1513024,233,13713,510557,30939330
21/08/2021,143502,24904914,22262,1535286,223,13936,497739,31437069
22/08/2021,125901,25030815,19807,1555093,232,14168,461500,31898569
23/08/2021,154855,25185670,17672,1572765,174,14342,415696,32314265
24/08/2021,177522,25363192,20837,1593602,211,14553,443244,32757509
25/08/2021,168313,25531505,22642,1616244,265,14818,447400,33204909
26/08/2021,155079,25686584,24599,1640843,393,15211,434851,33639760
27/08/2021,154582,25841166,22070,1662913,339,15550,371987,34011747
28/08/2021,134804,25975970,22597,1685510,252,15802,367909,34379656
29/08/2021,108692,26084662,20579,1706089,285,16087,327845,34707501
30/08/2021,156407,26241069,19268,1725357,295,16382,387376,35094877
31/08/2021,122698,26363767,20897,1746254,282,16664,284373,35379250
01/09/2021,165226,26528993,18762,1765016,278,16942,426137,35805387
02/09/2021,160267,26689260,20988,1786004,249,17191,399069,36204456
03/09/2021,147510,26836770,19378,1805382,330,17521,354243,36558699
04/09/2021,133048,26969818,19057,1824439,362,17883,329863,36888562
05/09/2021,110497,27080315,20396,1844835,336,18219,312881,37201443
06/09/2021,162319,27242634,17352,1862187,272,18491,338780,37540223
07/09/2021,164552,27407186,18547,1880734,311,18802,347292,37887515
08/09/2021,156749,27563935,19733,1900467,362,19164,346682,38234197
09/09/2021,143921,27707856,19307,1919774,322,19486,348516,38582713
10/09/2021,132221,27840077,21176,1940950,341,19827,311422,38894135
11/09/2021,124648,27964725,19550,1960500,592,20419,281181,39175316
12/09/2021,99660,28064385,19198,1979698,292,20711,245667,39420983
13/09/2021,135262,28199647,16073,1995771,413,21124,246100,39667083
14/09/2021,148091,28347738,15669,2011440,463,21587,261980,39929063
15/09/2021,142401,28490139,19495,2030935,422,22009,265657,40194720
16/09/2021,96360,28586499,18815,2049750,346,22355,212602,40407322
17/09/2021,107144,28693643,17577,2067327,388,22743,253837,40661159
18/09/2021,104817,28798460,15549,2082876,324,23067,247988,40909147
19/09/2021,109314,28907774,14954,2097830,376,23443,231207,41140354
20/09/2021,165497,29073271,14345,2112175,301,23744,304145,41444499
21/09/2021,163664,29236935,15759,2127934,334,24078,270417,41714916
22/09/2021,176312,29413247,14990,2142924,487,24565,332424,42047340
23/09/2021,143497,29556744,13754,2156678,116,24681,340023,42387363
24/09/2021,141860,29698604,14554,2171232,250,24931,284146,42671509
25/09/2021,113119,29811723,13899,2185131,228,25159,270928,42942437
26/09/2021,94811,29906534,13104,2198235,278,25437,276754,43219191
27/09/2021,157722,30064256,10959,2209194,258,25695,331460,43550651
28/09/2021,152195,30216451,11332,2220526,240,25935,338234,43888885
29/09/2021,145656,30362107,12434,2232960,208,26143,348601,44237486
30/09/2021,139755,30501862,12735,2245695,192,26335,337796,44575282
01/10/2021,138207,30640069,11889,2257584,121,26456,243287,44818569
02/10/2021,102196,30742265,10915,2268499,109,26565,217945,45036514
03/10/2021,97471,30839736,9066,2277565,118,26683,214195,45250709
04/10/2021,176380,31016116,8075,2285640,76,26759,231150,45481859
05/10/2021,157773,31173889,8817,2294457,117,26876,230224,45712083
06/10/2021,150239,31324128,9380,2303837,105,26981,214094,45926177
07/10/2021,135513,31459641,9890,2313727,132,27113,200536,46126713
08/10/2021,123146,31582787,9751,2323478,78,27191,178343,46305056
09/10/2021,96009,31678796,8743,2332221,74,27265,146639,46451695
10/10/2021,92421,31771217,7373,2339594,64,27329,133050,46584745
